,rawData,additive,description
108,"Bacitracin, manganese bacitracin, zinc bacitracin, Bacitracin methylene disalicylate- FEED/VET, REG, 0.5 ppm (neg res) - As residue in meat and meat by-products of cattle, poultry, pheasants, quail, and swine and in milk & eggs - 556.70; For feed use see 558.55, 558.58, 558.62, 558.76, 558.78, 558.274, 558.430, 558.460, 558.530, 558.680","Bacitracin, manganese bacitracin, zinc bacitracin, Bacitracin methylene disalicylate","FEED/VET, REG, 0.5 ppm (neg res) - As residue in meat and meat by-products of cattle, poultry, pheasants, quail, and swine and in milk & eggs - 556.70; For feed use see 558.55, 558.58, 558.62, 558.76, 558.78, 558.274, 558.430, 558.460, 558.530, 558.680"
109,"Bacteria (harmless, lactic acid producing; propionic acid producing)- MISC, FS, Part 133, Cheeses; Part 166, Margarine","Bacteria (harmless, lactic acid producing; propionic acid producing)","MISC, FS, Part 133, Cheeses; Part 166, Margarine"
110,"Bacterial Catalase- See Catalase, BacterialBakers Yeast Glycan- EMUL/STAB, REG, <10,000 organisms/gm by APC - 169.150, Salad Dressings; 172.898 as emulsifier; <10 yeast & molds/gm - Thickener, stabilizer or texturizer; < 5% - In salad dressings, 172.898; GMP, In frozen dessert analogs, sour cream analogs, cheese spread analogs, and in cheese-flavored and sour cream-fla-vored snack dips - 172.898",Bacterial Catalase,"See Catalase, BacterialBakers Yeast Glycan- EMUL/STAB, REG, <10,000 organisms/gm by APC - 169.150, Salad Dressings; 172.898 as emulsifier; <10 yeast & molds/gm - Thickener, stabilizer or texturizer; < 5% - In salad dressings, 172.898; GMP, In frozen dessert analogs, sour cream analogs, cheese spread analogs, and in cheese-flavored and sour cream-fla-vored snack dips - 172.898"
111,"Bakers Yeast Protein (Saccharomyces Cerevisiae)-NUTR, REG, <10,000 organisms/gm by APC - In foods as Nutrient supplement, 172.325; <10 yeast and mold/gm in final product","Bakers Yeast Protein (Saccharomyces Cerevisiae)-NUTR, REG, <10,000 organisms/gm by APC","In foods as Nutrient supplement, 172.325; <10 yeast and mold/gm in final product"
112,"Balm (lemon balm)- SP/ESO, GRAS - 182.10 and 182.20",Balm (lemon balm),"SP/ESO, GRAS - 182.10 and 182.20"
113,"Balsam of Peru- ESO, GRAS - 182.20",Balsam of Peru,"ESO, GRAS - 182.20"
114,"Bambermycins- FEED, REG, For feed uses in chickens, turkeys, & swine - 558.95",Bambermycins,"FEED, REG, For feed uses in chickens, turkeys, & swine - 558.95"
115,"Basil- ESO, GRAS - 182.20",Basil,"ESO, GRAS - 182.20"
116,"Basil (bush and sweet)- SP, GRAS - 182.10",Basil (bush and sweet),"SP, GRAS - 182.10"
117,"Bay, Bay leaves- SP/ESO, GRAS - 182.10 and 182.20","Bay, Bay leaves","SP/ESO, GRAS - 182.10 and 182.20"
118,"Bay, (Myrcia Oil)- ESO, GRAS - 182.20","Bay, (Myrcia Oil)","ESO, GRAS - 182.20"
119,"Beeswax (bleached, white wax)- MISC, GRAS","Beeswax (bleached, white wax)","MISC, GRAS"
120,"Beeswax (yellow wax)- MISC, GRAS - 184.1973",Beeswax (yellow wax),"MISC, GRAS - 184.1973"
121,"Beeswax, white (cire d'abeille)- FL/ADJ, REG, GMP, In conjunction with flavors - 172.510","Beeswax, white (cire d'abeille)","FL/ADJ, REG, GMP, In conjunction with flavors - 172.510"
122,"Bentonite- FEED, GRAS, GMP 21CFR 582.1155",Bentonite,"FEED, GRAS, GMP 21CFR 582.1155"
123,"Benzathine cloxacillin-VET, REG, 0.02 ppm - As residues in milk - 556.115; Use: Infusion - 526.363","Benzathine cloxacillin-VET, REG, 0.02 ppm",As residues in milk - 556.115; Use: Infusion - 526.363
124,"Benzene- MISC, REG, 1.0 ppm - In modified hop extract for beer - 172.560",Benzene,"MISC, REG, 1.0 ppm - In modified hop extract for beer - 172.560"
125,"Benzoic Acid- PRES, GRAS, 0.1%",Benzoic Acid,"PRES, GRAS, 0.1%"
126,"Benzoin Resin- FL/ADJ, REG, GMP, In conjunction with flavors - 172.510, 73.1",Benzoin Resin,"FL/ADJ, REG, GMP, In conjunction with flavors - 172.510, 73.1"
127,"Benzoyl Peroxide- BL, FS, Part 137, Cereal Flours; Part 133 for milk to be used in certain cheeses",Benzoyl Peroxide,"BL, FS, Part 137, Cereal Flours; Part 133 for milk to be used in certain cheeses"
128,"Bergamot (bergamot orange)- ESO, GRAS - 182.20",Bergamot (bergamot orange),"ESO, GRAS - 182.20"
129,"Beta-carotene- NUTR, GRAS, GMP, Use: Direct human food ingredient - 184.1245",Beta-carotene,"NUTR, GRAS, GMP, Use: Direct human food ingredient - 184.1245"
130,"BHA (butylated hydroxyanisole)- AOX/FS, GRAS, 0.02% - Of fat or oil content, incl essential (volatile) oil, or food, incl oleomargarine - Part 166, Margarine; AOX, REG, 10 ppm, alone or w/BHT - In potato granules - 172.110; 32 ppm - In mixed diced, glazed fruits - 172.110; 50 ppm, alone or w/BHT - In dry breakfast cereals, sweet potato flakes, dehydr potato flakes or shreds - 172.110; 90 ppm in mix or <2 ppm in prep food - In dry mixes for beverages and desserts - 172.110; 200 ppm alone or w/BHT - In emulsion stabilizers for shortenings; 0.1% - In active dry yeast -172.110; AOX, REG, 0.1% alone or w/BHT and/or propyl gallate - In chewing gum base - 172.615; AOX, REG, 0.1% of defoamer - For proc. Beet sugar & yeast - 173.340; AOX, REG, 0.5% of essential volatile oil - For use in flavoring substances - 172.515; AOX, REG, In mastitis form, for dairy cattle - 526.820",BHA (butylated hydroxyanisole),"AOX/FS, GRAS, 0.02% - Of fat or oil content, incl essential (volatile) oil, or food, incl oleomargarine - Part 166, Margarine; AOX, REG, 10 ppm, alone or w/BHT - In potato granules - 172.110; 32 ppm - In mixed diced, glazed fruits - 172.110; 50 ppm, alone or w/BHT - In dry breakfast cereals, sweet potato flakes, dehydr potato flakes or shreds - 172.110; 90 ppm in mix or <2 ppm in prep food - In dry mixes for beverages and desserts - 172.110; 200 ppm alone or w/BHT - In emulsion stabilizers for shortenings; 0.1% - In active dry yeast -172.110; AOX, REG, 0.1% alone or w/BHT and/or propyl gallate - In chewing gum base - 172.615; AOX, REG, 0.1% of defoamer - For proc. Beet sugar & yeast - 173.340; AOX, REG, 0.5% of essential volatile oil - For use in flavoring substances - 172.515; AOX, REG, In mastitis form, for dairy cattle - 526.820"
131,"BHT (butylated hydroxytoluene)- AOX, GRAS, 0.02% -Of fat or oil content, incl essential oil, of food, incl oleomargarine Part 166 - Margarine; FS, 33 ppm in rice - In enriched parboiled rice - Part 137.350; FS, <0.02% in oleomargarine - In any animal fat ingredient permitted in oleo-margarine not to exceed 0.02% by wt of such animal fat content, Part 166 - margarine; AOX, REG, 10 ppm alone or w/BHA - In potato granules - 172.115; 50 ppm alone or w/BHA - In dry breakfast cereals, sweet potato flakes, dehydr potato flakes or shreds - 172.115; 200 ppm alone or w/BHA - in emul stab for shortenings - 172.115; REG, 0.1% alone or w/BHA and/or propyl gallate - In chewing gum base - 172.615; REG, 0.1% of defoamer - For Proc. Beet sugar & yeast - 173.340; REG, In mastitis form, for dairy cattle - 526.820",BHT (butylated hydroxytoluene),"AOX, GRAS, 0.02% -Of fat or oil content, incl essential oil, of food, incl oleomargarine Part 166 - Margarine; FS, 33 ppm in rice - In enriched parboiled rice - Part 137.350; FS, <0.02% in oleomargarine - In any animal fat ingredient permitted in oleo-margarine not to exceed 0.02% by wt of such animal fat content, Part 166 - margarine; AOX, REG, 10 ppm alone or w/BHA - In potato granules - 172.115; 50 ppm alone or w/BHA - In dry breakfast cereals, sweet potato flakes, dehydr potato flakes or shreds - 172.115; 200 ppm alone or w/BHA - in emul stab for shortenings - 172.115; REG, 0.1% alone or w/BHA and/or propyl gallate - In chewing gum base - 172.615; REG, 0.1% of defoamer - For Proc. Beet sugar & yeast - 173.340; REG, In mastitis form, for dairy cattle - 526.820"
132,"Bicarbonate of soda- B&N, GRAS/FS - 137.270, Self-rising Cornmeal",Bicarbonate of soda,"B&N, GRAS/FS - 137.270, Self-rising Cornmeal"
133,"Bile salts & Ox Bile Extract- SDA, GRAS - 184.4560",Bile salts & Ox Bile Extract,"SDA, GRAS - 184.4560"
134,"Bioflavonoids, citrus - DS, ILL, Any claim for special dietary use renders the food misbranded (VitaSafe case)","Bioflavonoids, citrus","DS, ILL, Any claim for special dietary use renders the food misbranded (VitaSafe case)"
135,"Biotin- NUTR/DS, GRAS, GMP - 182.5159; 182.8159",Biotin,"NUTR/DS, GRAS, GMP - 182.5159; 182.8159"
136,"Bitter almond- ESO, GRAS, Free of prussic acid - 182.20",Bitter almond,"ESO, GRAS, Free of prussic acid - 182.20"
137,"Biuret, feed grade- NUTR, REG, GMP, In feed for rumi­nants except those producing milk for human consumption - 573.220","Biuret, feed grade","NUTR, REG, GMP, In feed for rumi­nants except those producing milk for human consumption - 573.220"
138,"Blackberry bark extract- FL/ADJ, REG, In conjunction w/flavors only - 172.510",Blackberry bark extract,"FL/ADJ, REG, In conjunction w/flavors only - 172.510"
139,"Boiler water additives - Ammonium alginate, cobalt sulfate, lignosulfonic acid, monobutyl ether of polyoxyethylene glycol or potassium tripolyphosphate, sodium carboxymethylcellulose, sodium glucoheptonate, sodium humate, sodium metasilicate, sodium metabisulfite, polyoxpropylene glycol, polyoxyethylene glycol, potassium carbonate, sodium acetate, sodium alginate, sodium aluminates, sodium carbonate, sodium hexametaphosphate, sodium hydroxide, sodium lignosulfonate, sodium nitrate, sodium phosphate (mono-, di-, tri-), sodium polyacrylate, sodium polymethacrylate, sodium silicate, sodium sulfate, sodium sulfite (neutral or alkaline), sodium tripolyphosphate, tannin (incl quebracho extract), tetrasodium EDTA, tetrasodium pyrophosphate, 1-hydroxyethylidene-1,1-diphosphonic acid and its sodium & potassium salt- BC, REG, GMP, In steam contacting food - 173.310Hydrazine- BC, REG, In steam contacting foodAcrylamide-sodium acrylate resin- BC, REG, 0.05% of acrylamide monomer - In steam contacting foodCyclohexylamine or Morpholine- BC, REG, <10 ppm - In steam contacting food except milk and milk productsOctadecylamine- BC, REG, <3 ppm - In steam con­tacting food except milk and milk productsDiethylaminoethenol- BC, REG, 15 ppm - In steam contacting food except milk and milk productsTrisodium nitrilotriacetate- BC, REG, <5 ppm in feed water - In steam contacting food except milk and milk productsPolymaleic acid and/or its sodium salt- BC, REG, Total < 1 ppm in feed water - In steam contacting foodSorbitol anhydride esters (a mixture of sorbitan monostearate, polyoxyethylene (20) sorbitan mono stearate (polysorbate 60) and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20)- BC, REG, Each component < 15 ppm in steam contacting food",Boiler water additives,"Ammonium alginate, cobalt sulfate, lignosulfonic acid, monobutyl ether of polyoxyethylene glycol or potassium tripolyphosphate, sodium carboxymethylcellulose, sodium glucoheptonate, sodium humate, sodium metasilicate, sodium metabisulfite, polyoxpropylene glycol, polyoxyethylene glycol, potassium carbonate, sodium acetate, sodium alginate, sodium aluminates, sodium carbonate, sodium hexametaphosphate, sodium hydroxide, sodium lignosulfonate, sodium nitrate, sodium phosphate (mono-, di-, tri-), sodium polyacrylate, sodium polymethacrylate, sodium silicate, sodium sulfate, sodium sulfite (neutral or alkaline), sodium tripolyphosphate, tannin (incl quebracho extract), tetrasodium EDTA, tetrasodium pyrophosphate, 1-hydroxyethylidene-1,1-diphosphonic acid and its sodium & potassium salt- BC, REG, GMP, In steam contacting food - 173.310Hydrazine- BC, REG, In steam contacting foodAcrylamide-sodium acrylate resin- BC, REG, 0.05% of acrylamide monomer - In steam contacting foodCyclohexylamine or Morpholine- BC, REG, <10 ppm - In steam contacting food except milk and milk productsOctadecylamine- BC, REG, <3 ppm - In steam con­tacting food except milk and milk productsDiethylaminoethenol- BC, REG, 15 ppm - In steam contacting food except milk and milk productsTrisodium nitrilotriacetate- BC, REG, <5 ppm in feed water - In steam contacting food except milk and milk productsPolymaleic acid and/or its sodium salt- BC, REG, Total < 1 ppm in feed water - In steam contacting foodSorbitol anhydride esters (a mixture of sorbitan monostearate, polyoxyethylene (20) sorbitan mono stearate (polysorbate 60) and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20)- BC, REG, Each component < 15 ppm in steam contacting food"
140,"Hydrazine- BC, REG, In steam contacting food",Hydrazine,"BC, REG, In steam contacting food"
141,"Acrylamide-sodium acrylate resin- BC, REG, 0.05% of acrylamide monomer - In steam contacting food",Acrylamide-sodium acrylate resin,"BC, REG, 0.05% of acrylamide monomer - In steam contacting food"
142,"Cyclohexylamine or Morpholine- BC, REG, <10 ppm - In steam contacting food except milk and milk products",Cyclohexylamine or Morpholine,"BC, REG, <10 ppm - In steam contacting food except milk and milk products"
143,"Octadecylamine- BC, REG, <3 ppm - In steam con­tacting food except milk and milk products",Octadecylamine,"BC, REG, <3 ppm - In steam con­tacting food except milk and milk products"
144,"Diethylaminoethenol- BC, REG, 15 ppm - In steam contacting food except milk and milk products",Diethylaminoethenol,"BC, REG, 15 ppm - In steam contacting food except milk and milk products"
145,"Trisodium nitrilotriacetate- BC, REG, <5 ppm in feed water - In steam contacting food except milk and milk products",Trisodium nitrilotriacetate,"BC, REG, <5 ppm in feed water - In steam contacting food except milk and milk products"
146,"Polymaleic acid and/or its sodium salt- BC, REG, Total < 1 ppm in feed water - In steam contacting food",Polymaleic acid and/or its sodium salt,"BC, REG, Total < 1 ppm in feed water - In steam contacting food"
147,"Sorbitol anhydride esters (a mixture of sorbitan monostearate, polyoxyethylene (20) sorbitan mono stearate (polysorbate 60) and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20)- BC, REG, Each component < 15 ppm in steam contacting food","Sorbitol anhydride esters (a mixture of sorbitan monostearate, polyoxyethylene (20) sorbitan mono stearate (polysorbate 60) and polyoxyethylene (20) sorbitan monolaurate (polysorbate 20)","BC, REG, Each component < 15 ppm in steam contacting food"
148,"Bois de rose- ESO, GRAS - 182.20",Bois de rose,"ESO, GRAS - 182.20"
149,"Boldus leaves- FL/ADJ, REG, In alcoholic beverages only - 172.510",Boldus leaves,"FL/ADJ, REG, In alcoholic beverages only - 172.510"
150,"Borax- MISC, ILL, No petition filed, Illegal for use in foods incl. wax ctg for fruits and vegetables. MID permits use in export meats.",Borax,"MISC, ILL, No petition filed, Illegal for use in foods incl. wax ctg for fruits and vegetables. MID permits use in export meats."
151,"Boron- MISC, REG, <310 ppm - In modified hop extract from sodium borohydride - 172.560",Boron,"MISC, REG, <310 ppm - In modified hop extract from sodium borohydride - 172.560"
152,"Boronia flowers- FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510",Boronia flowers,"FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510"
153,"Bromelin or Bromelain (spelling optional)- MISC, MIA, To soften tissue of meats; ENZ, REG, As an enzyme preparation (optional ingredient) in bakery products - 136",Bromelin or Bromelain (spelling optional),"MISC, MIA, To soften tissue of meats; ENZ, REG, As an enzyme preparation (optional ingredient) in bakery products - 136"
154,"Bryonia root- FLA/ADJ, REG, GMP, In alcoholic beverages only - 172.510",Bryonia root,"FLA/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
155,"Bucha leaves oil- FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510",Bucha leaves oil,"FL/ADJ, REG, GMP, In conjunction w/flavors only - 172.510"
156,"Buckbeen leaves- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510",Buckbeen leaves,"FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
157,"Buquinolate- FEED, REG, 0.4 ppm - In liver, kidney & skin of chickens - 556.90; 0.1 ppm - Residue in muscle of chickens - do; 0.5 ppm - Residues in uncooked yolk of eggs - do;0.2 ppm - Residues in uncooked whole eggs - do; Feed use in chickens, see 558.62, 558.530 & 558.105",Buquinolate,"FEED, REG, 0.4 ppm - In liver, kidney & skin of chickens - 556.90; 0.1 ppm - Residue in muscle of chickens - do; 0.5 ppm - Residues in uncooked yolk of eggs - do;0.2 ppm - Residues in uncooked whole eggs - do; Feed use in chickens, see 558.62, 558.530 & 558.105"
158,"Butadiene styrene rubber- MISC, REG, In chewing gum base - 172.615",Butadiene styrene rubber,"MISC, REG, In chewing gum base - 172.615"
159,"Butane, n-butane, isobutane- MISC, GRAS - 184.1165","Butane, n-butane, isobutane","MISC, GRAS - 184.1165"
160,"Butoxy monoether of mixed (ethylene-propylene) polyalkylene glycol- SANI, REG, GMP, Adequate drainage - 178.1010",Butoxy monoether of mixed (ethylene-propylene) polyalkylene glycol,"SANI, REG, GMP, Adequate drainage - 178.1010"
161,"n-Butoxypolyoxyethylene polyoxypropylene glycol-AF, REG, GMP, X-ref - Defoaming agent component (used in processing beet sugar) - 173.340","n-Butoxypolyoxyethylene polyoxypropylene glycol-AF, REG, GMP, X-ref",Defoaming agent component (used in processing beet sugar) - 173.340
162,"Butter Starter distillate- FLAV, FL/ADJ, GRAS, GMP -184.1848",Butter Starter distillate,"FLAV, FL/ADJ, GRAS, GMP -184.1848"
163,"Butyl Alcohol- MISC, REG - 73.1, 172.560 - Modified hop extract",Butyl Alcohol,"MISC, REG - 73.1, 172.560 - Modified hop extract"
